@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
200,13800,54,13911,148,0.989473,0.996102,0.497997,0.996102,0.502003,0.66402,0.992763,1.003363,0
201,13800,54,13910,149,0.989402,0.996102,0.498015,0.996102,0.501985,0.664036,0.992727,1.0034,0
202,13800,54,13909,150,0.989331,0.996102,0.498033,0.996102,0.501967,0.664052,0.992692,1.003436,0
203,13800,54,13908,151,0.98926,0.996102,0.498051,0.996102,0.501949,0.664068,0.992656,1.003472,0
204,13799,55,13908,151,0.98926,0.99603,0.498033,0.99603,0.501967,0.664036,0.99262,1.003435,0
205,13799,55,13907,152,0.989188,0.99603,0.498051,0.99603,0.501949,0.664052,0.992584,1.003472,0
206,13799,55,13906,153,0.989117,0.99603,0.498069,0.99603,0.501931,0.664068,0.992548,1.003508,0
207,13798,56,13906,153,0.989117,0.995958,0.498051,0.995958,0.501949,0.664036,0.992512,1.003471,0
208,13798,56,13905,154,0.989046,0.995958,0.498069,0.995958,0.501931,0.664052,0.992477,1.003508,0
209,13798,56,13904,155,0.988975,0.995958,0.498087,0.995958,0.501913,0.664068,0.992441,1.003544,0
210,13798,56,13903,156,0.988904,0.995958,0.498105,0.995958,0.501895,0.664084,0.992405,1.00358,0
211,13797,57,13903,156,0.988904,0.995886,0.498087,0.995886,0.501913,0.664052,0.992369,1.003544,0
212,13797,57,13902,157,0.988833,0.995886,0.498105,0.995886,0.501895,0.664068,0.992333,1.00358,0
213,13796,58,13902,157,0.988833,0.995813,0.498087,0.995813,0.501913,0.664035,0.992297,1.003543,0
214,13796,58,13901,158,0.988762,0.995813,0.498104,0.995813,0.501896,0.664051,0.992262,1.00358,0
215,13796,58,13900,159,0.988691,0.995813,0.498122,0.995813,0.501878,0.664067,0.992226,1.003616,0
216,13795,59,13900,159,0.988691,0.995741,0.498104,0.995741,0.501896,0.664035,0.99219,1.003579,0
217,13794,60,13900,159,0.988691,0.995669,0.498086,0.995669,0.501914,0.664003,0.992154,1.003543,0
218,13793,61,13900,159,0.988691,0.995597,0.498068,0.995597,0.501932,0.663971,0.992118,1.003506,0
219,13793,61,13899,160,0.988619,0.995597,0.498086,0.995597,0.501914,0.663987,0.992083,1.003542,0
